Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Hiking,2023-11-08 08:58:50,true,"Namche Hiking","18.22","1,598","06:16:29","100","141","2.2","74","160","20:39","7:27","721","1,226","0.66","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:16:28.55","1","0.0","04:53:35","08:29:27","2,559","3,430"
Hiking,2023-11-07 09:02:29,true,"Khumjung Hiking","10.03","960","03:39:57","98","141","2.0","72","160","21:56","7:00","432","848","0.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:39:56.59","1","0.0","02:44:45","05:32:51","3,313","3,871"
Hiking,2023-11-06 08:02:05,true,"Khumjung Hiking","17.87","1,372","05:41:23","97","139","2.0","79","231","19:07","6:12","303","1,359","0.66","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:41:23.08","1","0.0","04:47:47","07:37:20","3,751","4,934"
Hiking,2023-11-05 14:28:14,true,"Khumjung Hiking","4.84","493","01:52:12","99","143","2.1","61","160","23:11","6:17","84","324","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:52:11.74","1","0.0","01:28:12","01:54:29","4,933","5,199"
Hiking,2023-11-05 07:57:06,true,"Khumjung Hiking","6.70","767","02:56:45","99","133","1.3","56","160","26:22","8:53","248","251","0.68","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:56:45.19","1","0.0","02:12:33","04:24:36","5,156","5,279"
Hiking,2023-11-04 09:02:48,true,"Khumjung Hiking","5.01","686","02:57:01","95","129","1.5","20","160","35:19","9:18","334","97","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:57:00.77","1","0.0","01:36:07","03:31:03","4,923","5,208"
Hiking,2023-11-03 09:01:30,true,"Khumjung Hiking","9.14","1,113","03:48:08","106","135","1.3","76","160","24:57","9:33","718","111","0.53","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","26:17.34","2","0.0","03:08:16","05:21:24","4,317","4,935"
Hiking,2023-11-02 08:23:09,true,"Khumjung Hiking","6.63","1,209","03:46:27","112","146","2.3","42","214","34:09","8:48","762","1,116","0.69","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:46:26.96","1","0.0","02:26:47","04:53:59","4,322","5,227"
Hiking,2023-11-01 09:22:41,true,"Khumjung Hiking","6.36","772","02:40:26","106","131","1.5","75","160","25:15","9:24","481","81","0.53","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:40:25.80","1","0.0","02:06:07","03:14:15","3,912","4,314"
Hiking,2023-10-31 08:43:53,true,"Khumjung Hiking","9.67","1,210","04:18:39","103","138","2.0","59","214","26:45","3:46","768","741","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:18:38.71","1","0.0","03:14:16","05:39:25","3,914","4,590"
Hiking,2023-10-30 08:34:59,true,"Namche Hiking","14.24","1,786","05:45:23","110","147","2.3","37","167","24:16","8:40","1,060","582","1.14","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","23:19.40","2","0.0","03:11:34","07:23:45","3,322","3,931"
Hiking,2023-10-29 11:59:51,true,"Khumjung Hiking","2.84","270","00:59:26","100","145","1.1","35","200","20:55","4:55","29","422","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","59:25.99","1","0.0","00:35:59","01:29:54","3,442","3,880"
Hiking,2023-10-29 08:55:37,true,"Namche Hiking","2.80","525","01:29:23","109","141","2.1","19","160","31:52","6:20","432","24","1.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:29:23.02","1","0.0","00:38:35","02:43:31","3,435","3,888"
Hiking,2023-10-28 08:21:14,true,"Chaurikharka Hiking","6.13","1,134","03:07:04","115","147","2.3","53","167","30:32","7:25","659","116","0.62","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:07:03.99","1","0.0","01:42:57","04:36:54","2,794","3,428"
Hiking,2023-10-27 07:38:10,true,"Chaurikharka Hiking","12.94","1,425","04:53:43","104","149","2.0","69","162","22:42","9:10","527","558","0.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:53:42.88","1","0.0","03:46:23","07:33:35","2,565","2,872"
