Name,Date,Distance (km),Ascent (m),Descent (m),Moving Time,Elapsed Time,Min Elevation,Max Elevation
Lukla to Monjo,27/10/2023,12.94,527,558,3:46:23,7:33:35,"2,565","2,872"
Monjo to Namche Bazaar,28/10/2023,6.13,659,116,1:42:57,4:36:54,"2,794","3,428"
Namche Bazaar to Everest View Hotel,29/10/2023,2.8,432,24,0:38:35,2:43:31,"3,435","3,888"
Namche Bazaar to Pangboche,30/10/2023,14.24,"1,060",582,3:11:34,7:23:45,"3,322","3,931"
Pangboche to Ama Dablam Base Camp (return),31/10/2023,9.67,768,741,3:14:16,5:39:25,"3,914","4,590"
Pangboche to Dingboche,01/11/2023,6.36,481,81,2:06:07,3:14:15,"3,912","4,314"
Dingboche to Nangkartshang (return),02/11/2023,6.63,762,"1,116",2:26:47,4:53:59,"4,322","5,227"
Dingboche to Lobuche,03/11/2023,9.14,718,111,3:08:16,5:21:24,"4,317","4,935"
Lobuche to Gorak Shep,04/11/2023,5.01,334,97,1:36:07,3:31:03,"4,923","5,208"
Gorak Shep to Everes Base Camp (return),05/11/2023,6.7,248,251,2:12:33,4:24:36,"5,156","5,279"
Gorak Shep to Lobuche,05/11/2023,4.84,84,324,1:28:12,1:54:29,"4,933","5,199"
Lobuche to Tengboche,06/11/2023,17.87,303,"1,359",4:47:47,7:37:20,"3,751","4,934"
Tengboche to Namche Bazaar,07/11/2023,10.03,432,848,2:44:45,5:32:51,"3,313","3,871"
Namche Bazaar to Lukla,08/11/2023,18.22,721,"1,226",4:53:35,8:29:27,"2,559","3,430"
